model_key,prediction_window,feature_group,target_cutoff,model,settings,threshold,accuracy,balanced_accuracy,f1_up,train_rows,test_rows,split_date
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=8",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=8",0.43,0.5233253588516746,0.5156310562015504,0.5868325557283567,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=5",0.47,0.5029904306220095,0.5154796511627907,0.534453781512605,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=5",0.45,0.5155502392344498,0.5152676841085271,0.5682302771855011,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=10,7,price_volume_only,0.005,Logistic Regression,C=10,0.45,0.44258373205741625,0.5149164244186046,0.3136966126656848,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=3",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=3",0.45,0.520933014354067,0.5148800872093023,0.5821596244131455,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=10",0.43,0.5197368421052632,0.5148013565891473,0.5793609219486642,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=100, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=5",0.45,0.5143540669856459,0.5145954457364341,0.5662393162393162,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=5",0.43,0.527511961722488,0.5139777131782945,0.5989847715736041,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=5",0.45,0.5131578947368421,0.5139232073643412,0.5642398286937902,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=5",0.4,0.5406698564593302,0.5127664728682171,0.6293436293436293,6698,1672,2025-03-03
