model_key,prediction_window,feature_group,target_cutoff,model,settings,threshold,accuracy,balanced_accuracy,f1_up,train_rows,test_rows,split_date
"7d|price_volume_sentiment|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,price_volume_sentiment,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.5,0.40944411237298267,0.4908409431647813,0.23647604327666152,6703,1673,2025-03-04
"7d|trend_signals|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,trend_signals,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.43,0.5700344431687715,0.49059829059829063,0.7142312094620374,6968,1742,2025-02-13
"7d|trend_signals|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,trend_signals,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.45,0.5723306544202067,0.48858618233618234,0.7198194810078977,6968,1742,2025-02-13
"7d|trend_signals|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,trend_signals,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.4,0.5648679678530425,0.48812321937321934,0.7080123266563945,6968,1742,2025-02-13
7d|short_term_signals|0.005|Logistic Regression|C=1,7,short_term_signals,0.005,Logistic Regression,C=1,0.45,0.5574052812858783,0.4878917378917379,0.6953773212169103,6974,1742,2025-02-13
7d|short_term_signals|0.005|Logistic Regression|C=0.5,7,short_term_signals,0.005,Logistic Regression,C=0.5,0.43,0.568886337543054,0.4877849002849003,0.7149905123339658,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,short_term_signals,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.4,0.5597014925373134,0.48750000000000004,0.6998043052837574,6974,1742,2025-02-13
7d|short_term_signals|0.005|Logistic Regression|C=0.5,7,short_term_signals,0.005,Logistic Regression,C=0.5,0.45,0.5568312284730195,0.48694800569800567,0.6953433307024467,6974,1742,2025-02-13
7d|short_term_signals|0.005|Logistic Regression|C=1,7,short_term_signals,0.005,Logistic Regression,C=1,0.43,0.5677382319173364,0.48682336182336183,0.7140144322066084,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,short_term_signals,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.5,0.5091848450057406,0.4854700854700854,0.5965077866918358,6974,1742,2025-02-13
"7d|trend_signals|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,trend_signals,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.4,0.5579793340987371,0.4846688034188034,0.6996879875195008,6968,1742,2025-02-13
"7d|trend_signals|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,trend_signals,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.43,0.5579793340987371,0.4846688034188034,0.6996879875195008,6968,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,short_term_signals,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.5,0.5361653272101033,0.4819088319088319,0.6622073578595318,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,short_term_signals,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.45,0.5361653272101033,0.4819088319088319,0.6622073578595318,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,short_term_signals,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.5,0.49942594718714123,0.4812321937321937,0.5783365570599613,6974,1742,2025-02-13
7d|trend_signals|0.005|Logistic Regression|C=0.5,7,trend_signals,0.005,Logistic Regression,C=0.5,0.45,0.5453501722158438,0.4791844729344729,0.6829463570856685,6968,1742,2025-02-13
7d|trend_signals|0.005|Logistic Regression|C=1,7,trend_signals,0.005,Logistic Regression,C=1,0.45,0.5453501722158438,0.4791844729344729,0.6829463570856685,6968,1742,2025-02-13
"7d|trend_signals|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,trend_signals,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.5,0.465556831228473,0.47856125356125356,0.4790151091214326,6968,1742,2025-02-13
7d|trend_signals|0.005|Logistic Regression|C=1,7,trend_signals,0.005,Logistic Regression,C=1,0.5,0.49138920780711826,0.4775106837606838,0.5631163708086785,6968,1742,2025-02-13
"7d|trend_signals|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,trend_signals,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.5,0.47588978185993114,0.47679843304843306,0.5182058047493404,6968,1742,2025-02-13
7d|trend_signals|0.005|Logistic Regression|C=0.5,7,trend_signals,0.005,Logistic Regression,C=0.5,0.5,0.4908151549942595,0.47679843304843306,0.562838836865451,6968,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,short_term_signals,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.43,0.5338691159586682,0.4760505698005698,0.6647398843930635,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,short_term_signals,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.45,0.5338691159586682,0.4760505698005698,0.6647398843930635,6974,1742,2025-02-13
